timestamp_utc,total_heat_MW,EB1_MW,EB2_MW,EB3_MW,EB4_MW
2035-09-23T22:00:00Z,92.1051042318816,19.6,29.4,29.4,13.705104231881599
2035-09-23T23:00:00Z,91.99793168485704,19.6,29.4,29.4,13.597931684857038
2035-09-24T00:00:00Z,89.23031534985503,0.0,29.4,29.4,30.43031534985503
2035-09-24T01:00:00Z,89.9663608975373,0.0,29.4,29.4,31.166360897537295
2035-09-24T02:00:00Z,88.81823032857326,0.0,29.4,29.4,30.01823032857326
2035-09-24T03:00:00Z,88.02321686888737,0.0,29.4,29.4,29.22321686888737
2035-09-24T04:00:00Z,90.50256183764543,0.0,29.4,29.4,31.70256183764544
2035-09-24T05:00:00Z,90.88067101799965,0.0,29.4,29.4,32.08067101799964
2035-09-24T06:00:00Z,88.00368671368537,0.0,29.4,29.4,29.203686713685364
2035-09-24T07:00:00Z,90.64045178709392,0.0,29.4,29.4,31.84045178709392
2035-09-24T08:00:00Z,90.0857268316293,0.0,29.4,29.4,31.28572683162931
2035-09-24T09:00:00Z,91.82443302555643,0.0,29.4,29.4,33.02443302555644
2035-09-24T10:00:00Z,92.0534554286869,0.0,29.4,29.4,33.2534554286869
2035-09-24T11:00:00Z,94.09163074206322,0.0,29.4,29.4,35.29163074206321
2035-09-24T12:00:00Z,93.44533802534858,0.0,29.4,29.4,34.64533802534857
2035-09-24T13:00:00Z,92.13637008741955,0.0,29.4,29.4,33.33637008741956
2035-09-24T14:00:00Z,93.70960523916165,0.0,29.4,29.4,34.90960523916164
2035-09-24T15:00:00Z,91.11343540544087,0.0,29.4,29.4,32.31343540544088
2035-09-24T16:00:00Z,93.22602881963294,0.0,29.4,29.4,34.426028819632954
2035-09-24T17:00:00Z,91.71334129896704,0.0,29.4,29.4,32.91334129896703
2035-09-24T18:00:00Z,92.13692969043072,0.0,29.4,29.4,33.336929690430715
2035-09-24T19:00:00Z,92.48586422041839,0.0,29.4,29.4,33.6858642204184
2035-09-24T20:00:00Z,92.03693138793955,0.0,29.4,29.4,33.236931387939556
2035-09-24T21:00:00Z,92.32429224609518,0.0,29.4,29.4,33.52429224609518
2035-09-24T22:00:00Z,89.67261588211497,0.0,29.4,29.4,30.872615882114978
2035-09-24T23:00:00Z,89.56681051180612,0.0,29.4,29.4,30.766810511806135
2035-09-25T00:00:00Z,88.75946143558389,0.0,29.4,29.4,29.959461435583897
2035-09-25T01:00:00Z,89.311946398017,0.0,29.4,29.4,30.511946398016995
2035-09-25T02:00:00Z,89.54150346458727,0.0,29.4,29.4,30.74150346458726
2035-09-25T03:00:00Z,89.51645828667503,0.0,29.4,29.4,30.716458286675042
2035-09-25T04:00:00Z,88.43494705303337,0.0,29.4,29.4,29.634947053033365
2035-09-25T05:00:00Z,90.81426758808996,0.0,29.4,29.4,32.01426758808997
2035-09-25T06:00:00Z,90.38771566130939,0.0,29.4,29.4,31.587715661309396
2035-09-25T07:00:00Z,90.34130203208909,0.0,29.4,29.4,31.5413020320891
2035-09-25T08:00:00Z,90.68073627848293,0.0,29.4,29.4,31.88073627848292
2035-09-25T09:00:00Z,94.13021846962187,0.0,29.4,29.4,35.330218469621876
2035-09-25T10:00:00Z,93.67412699300255,0.0,29.4,29.4,34.874126993002555
2035-09-25T11:00:00Z,93.44720820966717,0.0,29.4,29.4,34.64720820966716
2035-09-25T12:00:00Z,92.59680443814744,0.0,29.4,29.4,33.79680443814744
2035-09-25T13:00:00Z,92.8920432461669,0.0,29.4,29.4,34.0920432461669
2035-09-25T14:00:00Z,94.43024398051787,0.0,29.4,29.4,35.63024398051788
2035-09-25T15:00:00Z,92.88887245362915,0.0,29.4,29.4,34.08887245362916
2035-09-25T16:00:00Z,92.7299261521166,0.0,29.4,29.4,33.9299261521166
2035-09-25T17:00:00Z,93.26139916507094,0.0,29.4,29.4,34.46139916507094
2035-09-25T18:00:00Z,92.04182157963584,0.0,29.4,29.4,33.24182157963583
2035-09-25T19:00:00Z,93.7286370740199,0.0,29.4,29.4,34.928637074019896
2035-09-25T20:00:00Z,93.12171206417341,0.0,29.4,29.4,34.32171206417342
2035-09-25T21:00:00Z,90.9973697219242,0.0,29.4,29.4,32.1973697219242
2035-09-25T22:00:00Z,89.49321719125055,0.0,29.4,29.4,30.69321719125056
2035-09-25T23:00:00Z,87.2585819527867,0.0,29.4,29.4,28.45858195278671
2035-09-26T00:00:00Z,88.13597208069544,0.0,29.4,29.4,29.33597208069545
2035-09-26T01:00:00Z,88.26310658941196,0.0,29.4,29.4,29.463106589411957
2035-09-26T02:00:00Z,89.5823583986201,0.0,29.4,29.4,30.782358398620097
2035-09-26T03:00:00Z,89.62450866195408,0.0,29.4,29.4,30.824508661954077
2035-09-26T04:00:00Z,89.15844943840327,0.0,29.4,29.4,30.358449438403262
