epoch_tag,strategy_id,strategy_label,future_id,U_inc_mult,U_headroom_mult,U_upgrade_capex_mult,U_voll,U_consents_uplift,selected_upgrade_name,selected_capacity_MW,annualised_upgrade_cost_nzd,annual_incremental_MWh,annual_shed_MWh,shed_fraction,annual_shed_cost_nzd,total_cost_nzd,max_exceed_MW,p95_exceed_MW,p99_exceed_MW,hours_exceed,hours_shed,menu_max_capacity_MW,menu_max_selected,satisficing_pass,voll_nzd_per_MWh_used,is_benchmark,is_policy,regret_vs_benchmark_nzd,regret_vs_best_policy_nzd,regret,n_hours_binding,unserved_peak_MW
2035_EB,S1,Force fonterra_opt1_N_plus21MW,5,1.05,0.85,1.15,10000.0,1.35,fonterra_opt1_N_plus21MW,21.0,1117936.2057722881,868636.3636363635,326262.7949115215,0.3756034268997108,3262627949.115215,3263745885.320987,88.64382084093123,79.88422174672333,83.40081068871112,6434,6434,150.0,False,False,10000.0,False,True,3255012008.7133913,3255012008.7133913,3255012008.7133913,6434,88.64382084093123
2035_EB,S2,Force fonterra_opt2_N-1_plus32MW,5,1.05,0.85,1.15,10000.0,1.35,fonterra_opt2_N-1_plus32MW,32.0,3971002.5642536483,868636.3636363635,258653.10341885686,0.29776914051359765,2586531034.1885686,2590502036.7528224,77.64382084093123,69.19101975210853,72.71459194010103,5851,5851,150.0,False,False,10000.0,False,True,2581768160.1452265,2581768160.1452265,2581768160.1452265,5851,77.64382084093123
2035_EB,S3,Force fonterra_opt3_N_plus97MW,5,1.05,0.85,1.15,10000.0,1.35,fonterra_opt3_N_plus97MW,97.0,6509649.364861553,868636.3636363635,2751.621108145955,0.003167748005191576,27516211.081459552,34025860.44632111,12.643820840931227,8.286156339058286,10.53235835807416,754,754,150.0,False,False,10000.0,False,True,25291983.838725105,25291983.838725105,25291983.838725105,754,12.643820840931227
2035_EB,S4,Force fonterra_opt4_N_plus150MW,5,1.05,0.85,1.15,10000.0,1.35,fonterra_opt4_N_plus150MW,150.0,8733876.607596003,868636.3636363635,0.0,0.0,0.0,8733876.607596003,0.0,0.0,0.0,0,0,150.0,True,True,10000.0,False,True,0.0,0.0,0.0,0,0.0
2035_EB,S_AUTO,Auto-select upgrade (min cost),5,1.05,0.85,1.15,10000.0,1.35,fonterra_opt4_N_plus150MW,150.0,8733876.607596003,868636.3636363635,0.0,0.0,0.0,8733876.607596003,0.0,0.0,0.0,0,0,150.0,True,True,10000.0,True,False,0.0,0.0,0.0,0,0.0
2035_EB,S0,No upgrade (allow shedding),6,0.95,0.95,0.95,15000.0,1.15,none,0.0,0.0,785909.0909090908,366924.84484930383,0.46687950183254395,5503872672.739557,5503872672.739557,92.81405501008555,84.88067425956422,88.36528335237522,7058,7058,150.0,False,False,15000.0,False,True,5499291808.371692,5499291808.371692,5499291808.371692,7058,92.81405501008555
2035_EB,S1,Force fonterra_opt1_N_plus21MW,6,0.95,0.95,0.95,15000.0,1.15,fonterra_opt1_N_plus21MW,21.0,786695.8485064249,785909.0909090908,235105.98682567023,0.29915163158847574,3526589802.3850536,3527376498.23356,71.81405501008555,64.52809662436958,67.61204030516448,5683,5683,150.0,False,False,15000.0,False,True,3522795633.8656945,3522795633.8656945,3522795633.8656945,5683,71.81405501008555
2035_EB,S2,Force fonterra_opt2_N-1_plus32MW,6,0.95,0.95,0.95,15000.0,1.15,fonterra_opt2_N-1_plus32MW,32.0,2794409.211882197,785909.0909090908,175706.5078292922,0.22357103367521278,2635597617.439383,2638392026.651265,60.81405501008555,53.85114818516552,56.702849330561044,5192,5192,150.0,False,False,15000.0,False,True,2633811162.2833996,2633811162.2833996,2633811162.2833996,5192,60.81405501008555
2035_EB,S3,Force fonterra_opt3_N_plus97MW,6,0.95,0.95,0.95,15000.0,1.15,fonterra_opt3_N_plus97MW,97.0,4580864.367865536,785909.0909090908,0.0,0.0,0.0,4580864.367865536,0.0,0.0,0.0,0,0,150.0,False,True,15000.0,False,True,0.0,0.0,0.0,0,0.0
2035_EB,S4,Force fonterra_opt4_N_plus150MW,6,0.95,0.95,0.95,15000.0,1.15,fonterra_opt4_N_plus150MW,150.0,6146061.316456445,785909.0909090908,0.0,0.0,0.0,6146061.316456445,0.0,0.0,0.0,0,0,150.0,True,True,15000.0,False,True,1565196.9485909082,1565196.9485909082,1565196.9485909082,0,0.0
