timestamp_utc,total_heat_MW,BB1_MW,EB1_MW,EB2_MW,EB3_MW
2035-05-14T11:00:00Z,67.23781359213868,0.0,19.6,29.4,18.23781359213867
2035-05-14T12:00:00Z,65.84910956696058,0.0,19.6,29.4,16.84910956696057
2035-05-14T13:00:00Z,66.02047151059335,0.0,19.6,29.4,17.020471510593346
2035-05-14T14:00:00Z,65.66700636034852,0.0,19.6,29.4,16.66700636034853
2035-05-14T15:00:00Z,66.35511866181719,0.0,19.6,29.4,17.355118661817194
2035-05-14T16:00:00Z,66.72167275624068,0.0,19.6,29.4,17.721672756240686
2035-05-14T17:00:00Z,66.13973239741964,0.0,19.6,29.4,17.13973239741963
2035-05-14T18:00:00Z,66.59736862753905,0.0,19.6,29.4,17.597368627539062
2035-05-14T19:00:00Z,64.84239824161894,0.0,19.6,29.4,15.842398241618932
2035-05-14T20:00:00Z,66.2749297798822,0.0,19.6,29.4,17.274929779882193
2035-05-14T21:00:00Z,65.88015724415143,0.0,19.6,29.4,16.880157244151427
2035-05-14T22:00:00Z,64.4882106979992,0.0,19.6,29.4,15.488210697999188
2035-05-14T23:00:00Z,64.80667221503793,0.0,19.6,29.4,15.80667221503793
2035-05-15T00:00:00Z,62.02881079090583,0.0,19.6,29.4,13.028810790905831
2035-05-15T01:00:00Z,62.694550390157254,0.0,19.6,29.4,13.694550390157255
2035-05-15T02:00:00Z,62.57056361220828,0.0,19.6,29.4,13.570563612208284
2035-05-15T03:00:00Z,63.7293522835276,0.0,19.6,29.4,14.729352283527598
2035-05-15T04:00:00Z,62.97915112584308,0.0,19.6,29.4,13.979151125843083
2035-05-15T05:00:00Z,64.35520202685699,0.0,19.6,29.4,15.35520202685698
2035-05-15T06:00:00Z,64.41707781218264,0.0,19.6,29.4,15.417077812182635
2035-05-15T07:00:00Z,64.61406548286291,0.0,19.6,29.4,15.614065482862907
2035-05-15T08:00:00Z,64.96291534967833,0.0,19.6,29.4,15.96291534967832
2035-05-15T09:00:00Z,64.7805899546508,0.0,19.6,29.4,15.780589954650788
2035-05-15T10:00:00Z,65.16434161853243,0.0,19.6,29.4,16.16434161853244
2035-05-15T11:00:00Z,66.75101633745189,0.0,19.6,29.4,17.751016337451894
2035-05-15T12:00:00Z,66.46049338852075,0.0,19.6,29.4,17.460493388520753
2035-05-15T13:00:00Z,65.95492236219494,0.0,19.6,29.4,16.954922362194928
2035-05-15T14:00:00Z,65.42807156588441,0.0,19.6,29.4,16.428071565884416
2035-05-15T15:00:00Z,64.1455411442,0.0,19.6,29.4,15.14554114419999
2035-05-15T16:00:00Z,65.0444245711241,0.0,19.6,29.4,16.04442457112409
2035-05-15T17:00:00Z,66.57283471504101,0.0,19.6,29.4,17.572834715041004
2035-05-15T18:00:00Z,64.62527016586927,0.0,19.6,29.4,15.625270165869262
2035-05-15T19:00:00Z,65.22440897327078,0.0,19.6,29.4,16.22440897327079
2035-05-15T20:00:00Z,65.41352130908803,0.0,19.6,29.4,16.41352130908802
2035-05-15T21:00:00Z,63.74624015839613,0.0,19.6,29.4,14.746240158396128
2035-05-15T22:00:00Z,63.71267550774264,0.0,19.6,29.4,14.71267550774264
2035-05-15T23:00:00Z,63.857270055021196,0.0,19.6,29.4,14.857270055021198
2035-05-16T00:00:00Z,62.57867326691433,0.0,19.6,29.4,13.57867326691433
2035-05-16T01:00:00Z,64.24567188673024,0.0,19.6,29.4,15.24567188673023
2035-05-16T02:00:00Z,61.59741154551353,0.0,19.6,29.4,12.597411545513532
2035-05-16T03:00:00Z,63.49032049842369,0.0,19.6,29.4,14.490320498423694
2035-05-16T04:00:00Z,63.06509827588639,0.0,19.6,29.4,14.065098275886394
2035-05-16T05:00:00Z,63.922268184858375,0.0,19.6,29.4,14.922268184858376
2035-05-16T06:00:00Z,63.42721299536992,0.0,19.6,29.4,14.427212995369922
2035-05-16T07:00:00Z,63.32001602380728,0.0,19.6,29.4,14.320016023807279
2035-05-16T08:00:00Z,64.4840403084961,0.0,19.6,29.4,15.4840403084961
2035-05-16T09:00:00Z,63.80757498062423,0.0,19.6,29.4,14.807574980624233
2035-05-16T10:00:00Z,65.60195429724192,0.0,19.6,29.4,16.60195429724191
2035-05-16T11:00:00Z,65.7084718395435,0.0,19.6,29.4,16.7084718395435
2035-05-16T12:00:00Z,65.91728286305778,0.0,19.6,29.4,16.917282863057785
2035-05-16T13:00:00Z,66.17451355026483,0.0,19.6,29.4,17.17451355026484
2035-05-16T14:00:00Z,65.45814445577483,0.0,19.6,29.4,16.45814445577482
2035-05-16T15:00:00Z,65.02591068548577,0.0,19.6,29.4,16.025910685485762
2035-05-16T16:00:00Z,64.71374779495041,0.0,19.6,29.4,15.713747794950402
2035-05-16T17:00:00Z,64.52114370429477,0.0,19.6,29.4,15.521143704294767
2035-05-16T18:00:00Z,65.6808377052161,0.0,19.6,29.4,16.6808377052161
2035-05-16T19:00:00Z,65.53040685763096,0.0,19.6,29.4,16.530406857630958
2035-05-16T20:00:00Z,64.21498191130064,0.0,19.6,29.4,15.214981911300635
2035-05-16T21:00:00Z,64.08795171389656,0.0,19.6,29.4,15.087951713896553
2035-05-16T22:00:00Z,62.63357850360584,0.0,19.6,29.4,13.633578503605841
2035-05-16T23:00:00Z,63.5572187148309,0.0,19.6,29.4,14.557218714830904
