timestamp_utc,unit_id,heat_MW,unit_on,fuel_MWh,co2_tonnes,unserved_MW,availability_factor,available_cap_MW,fuel_cost_nzd,carbon_cost_nzd,total_cost_nzd
2020-01-01T07:00:00Z,CB1,15.5324478626316,1,19.913394695681536,4.978348673920384,0.0,1.0,25.0,139.39376286977074,149.35046021761153,288.74422308738224
2020-01-01T07:00:00Z,CB2,25.0,1,31.25,7.8125,0.0,1.0,25.0,218.75,234.375,453.125
2020-01-01T07:00:00Z,CB3,40.0,1,46.51162790697674,11.627906976744185,0.0,1.0,40.0,325.5813953488372,348.83720930232556,674.4186046511627
2020-01-01T07:00:00Z,CB4,40.0,1,45.45454545454545,11.363636363636363,0.0,1.0,40.0,318.1818181818182,340.9090909090909,659.090909090909
2020-01-01T08:00:00Z,CB1,15.231672576280445,1,19.527785354205697,4.881946338551424,0.0,1.0,25.0,136.6944974794399,146.45839015654272,283.1528876359826
2020-01-01T08:00:00Z,CB2,25.0,1,31.25,7.8125,0.0,1.0,25.0,218.75,234.375,453.125
2020-01-01T08:00:00Z,CB3,40.0,1,46.51162790697674,11.627906976744185,0.0,1.0,40.0,325.5813953488372,348.83720930232556,674.4186046511627
2020-01-01T08:00:00Z,CB4,40.0,1,45.45454545454545,11.363636363636363,0.0,1.0,40.0,318.1818181818182,340.9090909090909,659.090909090909
2020-01-01T09:00:00Z,CB1,17.64488239599666,1,22.621644097431616,5.655411024357904,0.0,1.0,25.0,158.35150868202132,169.66233073073712,328.01383941275844
2020-01-01T09:00:00Z,CB2,25.0,1,31.25,7.8125,0.0,1.0,25.0,218.75,234.375,453.125
2020-01-01T09:00:00Z,CB3,40.0,1,46.51162790697674,11.627906976744185,0.0,1.0,40.0,325.5813953488372,348.83720930232556,674.4186046511627
2020-01-01T09:00:00Z,CB4,40.0,1,45.45454545454545,11.363636363636363,0.0,1.0,40.0,318.1818181818182,340.9090909090909,659.090909090909
2020-01-01T10:00:00Z,CB1,17.013131293323553,1,21.811706786312246,5.452926696578062,0.0,1.0,25.0,152.68194750418573,163.58780089734185,316.2697484015276
2020-01-01T10:00:00Z,CB2,25.0,1,31.25,7.8125,0.0,1.0,25.0,218.75,234.375,453.125
