epoch_tag,strategy_id,strategy_label,future_id,selected_upgrade_name,selected_capacity_MW,annualised_upgrade_cost_nzd,annual_incremental_MWh,annual_shed_MWh,shed_fraction,annual_shed_cost_nzd,total_cost_nzd,n_hours_binding,unserved_peak_MW
2035_BB,S_AUTO,Auto-select upgrade (min cost),15,fonterra_opt3_N_plus97MW,97.0,5124697.876801153,616657.1811951299,0.0,0.0,0.0,5124697.876801153,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),16,fonterra_opt3_N_plus97MW,97.0,5927240.155986016,634445.3691142203,0.0,0.0,0.0,5927240.155986016,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),17,fonterra_opt3_N_plus97MW,97.0,5547772.672881366,569222.0134108892,0.0,0.0,0.0,5547772.672881366,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),18,fonterra_opt3_N_plus97MW,97.0,5338960.731902231,646304.1610602804,0.0,0.0,0.0,5338960.731902231,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),19,fonterra_opt3_N_plus97MW,97.0,5242102.180966128,592939.5973030096,0.0,0.0,0.0,5242102.180966128,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),20,fonterra_opt3_N_plus97MW,97.0,5445463.207823317,604798.3892490697,0.0,0.0,0.0,5445463.207823317,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),21,fonterra_opt3_N_plus97MW,97.0,5059068.870772931,610134.8456247968,0.0,0.0,0.0,5059068.870772931,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),22,fonterra_opt3_N_plus97MW,97.0,5343300.498145473,604798.3892490697,0.0,0.0,0.0,5343300.498145473,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),23,fonterra_opt3_N_plus97MW,97.0,5666988.357739171,671800.5637443098,0.0,0.0,0.0,5666988.357739171,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),24,fonterra_opt3_N_plus97MW,97.0,7284731.615904402,614878.3624032208,0.0,0.0,0.0,7284731.615904402,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),25,fonterra_opt3_N_plus97MW,97.0,5457895.485032215,563292.6174378591,0.0,0.0,0.0,5457895.485032215,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),26,fonterra_opt3_N_plus97MW,97.0,4296997.532438081,581080.8053569493,0.0,0.0,0.0,4296997.532438081,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),27,fonterra_opt3_N_plus97MW,97.0,5493271.917683639,521193.90602934535,0.0,0.0,0.0,5493271.917683639,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),28,fonterra_opt3_N_plus97MW,97.0,4790917.440060129,608948.9664301907,0.0,0.0,0.0,4790917.440060129,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),29,fonterra_opt3_N_plus97MW,97.0,4437631.116784267,537203.2751565267,0.0,0.0,0.0,4437631.116784267,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),30,fonterra_opt3_N_plus97MW,97.0,6997514.564797379,588196.0805245854,0.0,0.0,0.0,6997514.564797379,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),31,fonterra_opt3_N_plus97MW,97.0,5128098.408611073,566257.3154243741,0.0,0.0,0.0,5128098.408611073,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),32,fonterra_opt3_N_plus97MW,97.0,4831229.046497345,596497.2348868276,0.0,0.0,0.0,4831229.046497345,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),33,fonterra_opt3_N_plus97MW,97.0,5698892.977396003,559734.979854041,0.0,0.0,0.0,5698892.977396003,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),34,fonterra_opt3_N_plus97MW,97.0,6565785.394295862,633852.4295169172,0.0,0.0,0.0,6565785.394295862,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),35,fonterra_opt3_N_plus97MW,97.0,7160614.301347707,573965.5301893132,0.0,0.0,0.0,7160614.301347707,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),36,fonterra_opt3_N_plus97MW,97.0,5834373.351391522,583452.5637461613,0.0,0.0,0.0,5834373.351391522,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),37,fonterra_opt3_N_plus97MW,97.0,5888932.808741331,568036.1342162832,0.0,0.0,0.0,5888932.808741331,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),38,fonterra_opt3_N_plus97MW,97.0,5755687.309535811,607763.0872355847,0.0,0.0,0.0,5755687.309535811,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),39,fonterra_opt3_N_plus97MW,97.0,6714603.735846695,530680.9395861935,0.0,0.0,0.0,6714603.735846695,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),40,fonterra_opt3_N_plus97MW,97.0,5639587.031749237,561513.7986459499,0.0,0.0,0.0,5639587.031749237,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),41,fonterra_opt3_N_plus97MW,97.0,5366517.199294097,659348.8322009468,0.0,0.0,0.0,5366517.199294097,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),42,fonterra_opt3_N_plus97MW,97.0,4861947.044079939,565071.4362297681,0.0,0.0,0.0,4861947.044079939,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),43,fonterra_opt3_N_plus97MW,97.0,4260631.54922298,553805.583881011,0.0,0.0,0.0,4260631.54922298,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),44,fonterra_opt3_N_plus97MW,97.0,6394249.319889109,547876.1879079809,0.0,0.0,0.0,6394249.319889109,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),45,fonterra_opt3_N_plus97MW,97.0,5393348.275806657,606577.2080409788,0.0,0.0,0.0,5393348.275806657,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),46,fonterra_opt3_N_plus97MW,97.0,6463568.1754768,655198.2550198257,0.0,0.0,0.0,6463568.1754768,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),47,fonterra_opt3_N_plus97MW,97.0,5268446.868218576,611913.664416706,0.0,0.0,0.0,5268446.868218576,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),48,fonterra_opt3_N_plus97MW,97.0,5773172.164834666,620807.758376251,0.0,0.0,0.0,5773172.164834666,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),49,fonterra_opt3_N_plus97MW,97.0,5525516.171220376,613099.5436113119,0.0,0.0,0.0,5525516.171220376,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),50,fonterra_opt3_N_plus97MW,97.0,4831895.735224568,590567.8389137975,0.0,0.0,0.0,4831895.735224568,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),51,fonterra_opt3_N_plus97MW,97.0,6522001.974864054,582266.6845515554,0.0,0.0,0.0,6522001.974864054,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),52,fonterra_opt3_N_plus97MW,97.0,7195177.289891704,603612.5100544638,0.0,0.0,0.0,7195177.289891704,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),53,fonterra_opt3_N_plus97MW,97.0,7204892.496061356,575744.3489812223,0.0,0.0,0.0,7204892.496061356,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),54,fonterra_opt3_N_plus97MW,97.0,5381607.845390158,622586.5771681601,0.0,0.0,0.0,5381607.845390158,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),55,fonterra_opt3_N_plus97MW,97.0,5354365.853813022,651640.6174360075,0.0,0.0,0.0,5354365.853813022,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),56,fonterra_opt3_N_plus97MW,97.0,4968919.137217683,526530.3624050725,0.0,0.0,0.0,4968919.137217683,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),57,fonterra_opt3_N_plus97MW,97.0,8361425.524347071,556177.342270223,0.0,0.0,0.0,8361425.524347071,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),58,fonterra_opt3_N_plus97MW,97.0,7423054.851265057,601240.7516652517,0.0,0.0,0.0,7423054.851265057,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),59,fonterra_opt3_N_plus97MW,97.0,5887662.326449831,636224.1879061293,0.0,0.0,0.0,5887662.326449831,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),60,fonterra_opt3_N_plus97MW,97.0,6283478.358909454,645711.2214629774,0.0,0.0,0.0,6283478.358909454,0,0.0
2035_BB,S_AUTO,Auto-select upgrade (min cost),61,fonterra_opt3_N_plus97MW,97.0,6117602.849167797,600054.8724706457,0.0,0.0,0.0,6117602.849167797,0,0.0
