future_id,EB_site_cost_nzd,BB_site_cost_nzd,EB_site_co2_tonnes,BB_site_co2_tonnes,EB_site_electricity_MWh,BB_site_electricity_MWh,EB_upgrade_name,BB_upgrade_name,EB_upgrade_cost_nzd,BB_upgrade_cost_nzd,EB_shed_fraction,BB_shed_fraction,EB_shed_MWh,BB_shed_MWh,EB_rdm_cost_nzd,BB_rdm_cost_nzd,EB_system_cost_nzd,BB_system_cost_nzd,P_elec_mult,P_biomass_mult,ETS_mult,EB_site_cost_future_nzd,BB_site_cost_future_nzd,EB_system_cost_future_nzd,BB_system_cost_future_nzd,winner_system_cost_future,winner_system_cost_future_nzd,regret_EB_future_nzd,regret_BB_future_nzd,delta_site_cost_future_nzd,delta_upgrade_cost_nzd,delta_system_cost_future_nzd
38,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7722299.6102895485,5755687.309535811,0.0,0.0,0.0,0.0,7722299.6102895485,5755687.309535811,98722299.6102907,82586993.75079113,1.071858114437035,1.3494999230547315,1.347747560440439,97539088.41377135,85574857.72724135,105261388.02406089,91330545.03677717,BB,91330545.03677717,13930842.987283722,0.0,11964230.686529994,1966612.3007537378,13930842.987283722
39,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,6714603.735846695,6714603.735846695,0.0,0.0,0.0,0.0,6714603.735846695,6714603.735846695,97714603.73584786,83545910.17710201,0.9783859938642364,2.257733064698457,1.0062861655830986,89033125.44164668,89839905.45510006,95747729.17749338,96554509.19094676,EB,95747729.17749338,0.0,806780.0134533793,-806780.0134533793,0.0,-806780.0134533793
40,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5639587.031749237,5639587.031749237,0.0,0.0,0.0,0.0,5639587.031749237,5639587.031749237,96639587.0317504,82470893.47300455,0.8229143358341662,2.220519005081904,1.7326992353611708,74885204.56091028,79378212.191805,80524791.59265952,85017799.22355424,EB,80524791.59265952,0.0,4493007.630894721,-4493007.630894721,0.0,-4493007.630894721
41,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7200157.244133404,5366517.199294097,0.0,0.0,0.0,0.0,7200157.244133404,5366517.199294097,98200157.24413456,82197823.6405494,0.9983078279012132,1.2524853408944476,1.7648708703777962,90846012.33901156,79726032.37134683,98046169.58314496,85092549.57064092,BB,85092549.57064092,12953620.012504041,0.0,11119979.967664734,1833640.0448393077,12953620.012504041
42,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,4861947.044079939,4861947.044079939,0.0,0.0,0.0,0.0,4861947.044079939,4861947.044079939,95861947.0440811,81693253.48533526,0.7417888210689543,1.477393962591733,1.6803709466655734,67502782.717276,65560888.99056451,72364729.76135595,70422836.03464445,BB,70422836.03464445,1941893.7267114967,0.0,1941893.7267114967,0.0,1941893.7267114967
43,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,4260631.54922298,4260631.54922298,0.0,0.0,0.0,0.0,4260631.54922298,4260631.54922298,95260631.54922414,81091937.99047829,1.2009479906519258,1.294108995148766,1.1306269157068027,109286267.14932641,93328118.73625477,113546898.69854939,97588750.28547774,BB,97588750.28547774,15958148.413071647,0.0,15958148.413071647,0.0,15958148.413071647
44,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,6394249.319889109,6394249.319889109,0.0,0.0,0.0,0.0,6394249.319889109,6394249.319889109,97394249.31989028,83225555.76114443,0.9017957416081618,1.280355883179496,0.8609063869140847,82063412.48634389,73619663.56299907,88457661.806233,80013912.88288818,BB,80013912.88288818,8443748.92334482,0.0,8443748.92334482,0.0,8443748.92334482
45,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7236156.005107321,5393348.275806657,0.0,0.0,0.0,0.0,7236156.005107321,5393348.275806657,98236156.00510848,82224654.71706197,1.0624551507446631,1.0330628976468488,1.70671221489,96683418.71776551,81386262.33220506,103919574.72287282,86779610.60801171,BB,86779610.60801171,17139964.114861116,0.0,15297156.385560453,1842807.7293006638,17139964.114861116
46,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,8672050.324879427,6463568.1754768,0.0,0.0,0.0,0.0,8672050.324879427,6463568.1754768,99672050.32488059,83294874.61673212,0.9263498030430016,1.5988306566899788,1.171640765115024,84297832.07691431,78916879.54828247,92969882.40179373,85380447.72375928,BB,85380447.72375928,7589434.678034455,0.0,5380952.528631836,2208482.149402627,7589434.678034455
47,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7068578.087949788,5268446.868218576,0.0,0.0,0.0,0.0,7068578.087949788,5268446.868218576,98068578.08795094,82099753.30947389,1.0070957352096124,1.4829318451136284,1.7999644602886864,91645711.90407589,82945909.24665323,98714289.99202567,88214356.1148718,BB,88214356.1148718,10499933.877153873,0.0,8699802.657422662,1800131.2197312126,10499933.877153873
