future_id,EB_site_cost_nzd,BB_site_cost_nzd,EB_site_co2_tonnes,BB_site_co2_tonnes,EB_site_electricity_MWh,BB_site_electricity_MWh,EB_upgrade_name,BB_upgrade_name,EB_upgrade_cost_nzd,BB_upgrade_cost_nzd,EB_shed_fraction,BB_shed_fraction,EB_shed_MWh,BB_shed_MWh,EB_rdm_cost_nzd,BB_rdm_cost_nzd,EB_system_cost_nzd,BB_system_cost_nzd,P_elec_mult,P_biomass_mult,ETS_mult,EB_site_cost_future_nzd,BB_site_cost_future_nzd,EB_system_cost_future_nzd,BB_system_cost_future_nzd,winner_system_cost_future,winner_system_cost_future_nzd,regret_EB_future_nzd,regret_BB_future_nzd,delta_site_cost_future_nzd,delta_upgrade_cost_nzd,delta_system_cost_future_nzd
10,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7434905.845152255,5541483.156586814,0.0,0.0,0.0,0.0,7434905.845152255,5541483.156586814,98434905.84515342,82372789.59784213,0.7210154990299413,1.186097150230302,1.7305537713699206,65612410.41172583,60874113.240287706,73047316.25687808,66415596.39687452,BB,66415596.39687452,6631719.860003561,0.0,4738297.17143812,1893422.6885654414,6631719.860003561
11,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5484877.509935844,5484877.509935844,6.498738211769933e-06,0.0,5.214942017753927,0.0,5537026.930113383,5484877.509935844,96537026.93011454,82316183.95119116,1.2641391461706128,1.0767053044844273,1.6447435018373042,115036662.30152693,95032062.48125933,120573689.23164031,100516939.99119517,BB,100516939.99119517,20056749.240445137,0.0,20004599.820267603,0.0,20056749.240445137
12,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,6089241.893759686,4538514.9581488855,0.0,0.0,0.0,0.0,6089241.893759686,4538514.9581488855,97089241.89376085,81369821.3994042,1.147388171609117,2.1739354626564444,1.3053633860595184,104412323.6164308,99945564.45602478,110501565.51019049,104484079.41417366,BB,104484079.41417366,6017486.096016824,0.0,4466759.160406023,1550726.9356108,6017486.096016824
13,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,8563418.33950572,6382601.135711597,0.0,0.0,0.0,0.0,8563418.33950572,6382601.135711597,99563418.33950688,83213907.57696691,0.8780856902924374,2.232632516552748,1.6938122831133493,79905797.81661297,83109894.85049798,88469216.15611869,89492495.98620957,EB,88469216.15611869,0.0,1023279.8300908804,-3204097.033885002,2180817.2037941236,-1023279.8300908804
14,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5377955.732928456,5377955.732928456,5.5583362209411615e-06,0.0,4.552277364950811,0.0,5423478.506577964,5377955.732928456,96423478.50657913,82209262.17418377,0.8610618794707838,1.868704889993784,0.9457333197743766,78356631.03184249,77719417.53756315,83780109.53842045,83097373.2704916,BB,83097373.2704916,682736.2679288536,0.0,637213.4942793399,0.0,682736.2679288536
15,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,6875712.714849489,5124697.876801153,0.0,0.0,0.0,0.0,6875712.714849489,5124697.876801153,97875712.71485065,81956004.31805646,0.8619766612485706,1.2973348927821224,1.017747198987437,78439876.17362109,71239890.55450337,85315588.88847058,76364588.43130451,BB,76364588.43130451,8951000.45716606,0.0,7199985.619117722,1751014.838048336,8951000.45716606
16,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7952468.903380165,5927240.155986016,0.0,0.0,0.0,0.0,7952468.903380165,5927240.155986016,98952468.90338133,82758546.59724133,0.9230189545161412,1.1165239356816337,0.904185168515145,83994724.86097002,73132175.15538675,91947193.76435019,79059415.31137276,BB,79059415.31137276,12887778.452977434,0.0,10862549.705583274,2025228.7473941492,12887778.452977434
17,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5547772.672881366,5547772.672881366,4.041614995571848e-07,0.0,0.3209777145574151,0.0,5554192.227172514,5547772.672881366,96554192.22717367,82379079.11413668,1.008774745585703,1.6895709131239711,1.1002202474582556,91798501.84830013,85322718.10747214,97352694.07547264,90870490.7803535,BB,90870490.7803535,6482203.295119137,0.0,6475783.740827993,0.0,6482203.295119137
18,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt4_N_plus150MW,fonterra_opt3_N_plus97MW,7163185.239582601,5338960.731902231,0.0,0.0,0.0,0.0,7163185.239582601,5338960.731902231,98163185.23958376,82170267.17315754,0.9753098977395528,1.4208879515909252,1.1435029174757094,88753200.69430047,80066381.59265395,95916385.93388307,85405342.32455617,BB,85405342.32455617,10511043.609326899,0.0,8686819.101646528,1824224.5076803695,10511043.609326899
19,91000000.00000116,76831306.44125532,0.0,1610.282131944848,827272.7272727273,592939.5973030096,fonterra_opt3_N_plus97MW,fonterra_opt3_N_plus97MW,5242102.180966128,5242102.180966128,1.5817976014901662e-05,0.0,13.08578015778228,0.0,5438388.883332862,5242102.180966128,96438388.88333403,82073408.62222144,0.9171163404745586,1.142029652574832,1.06491649470685,83457586.98318599,73062853.58982392,88895975.86651886,78304955.77079004,BB,78304955.77079004,10591020.095728815,0.0,10394733.393362075,0.0,10591020.095728815
